"source","Time","Var","Value","EPU"
"GLORYS",1996,"se_extent_index",1.78099421967936,"MAB"
"GLORYS",1997,"cold_pool_index",0.202666118037887,"MAB"
"GLORYS",1997,"se_cold_pool_index",0.038183681282783,"MAB"
"GLORYS",1997,"persistence_index",0.361410115558408,"MAB"
"GLORYS",1997,"se_persistence_index",0.0295600325965125,"MAB"
"GLORYS",1997,"extent_index",16.1911764705883,"MAB"
"GLORYS",1997,"se_extent_index",1.78099421967936,"MAB"
"GLORYS",1998,"cold_pool_index",-0.378215725003048,"MAB"
"GLORYS",1998,"se_cold_pool_index",0.0476422801391879,"MAB"
"GLORYS",1998,"persistence_index",0.785286799824739,"MAB"
"GLORYS",1998,"se_persistence_index",0.027185516489785,"MAB"
"GLORYS",1998,"extent_index",51.1911764705883,"MAB"
"GLORYS",1998,"se_extent_index",1.78099421967936,"MAB"
"GLORYS",1999,"cold_pool_index",1.84822094154138,"MAB"
"GLORYS",1999,"se_cold_pool_index",0.0534385923758714,"MAB"
"GLORYS",1999,"persistence_index",-0.842430828330327,"MAB"
"GLORYS",1999,"se_persistence_index",0.0339831938302911,"MAB"
"GLORYS",1999,"extent_index",-166.808823529412,"MAB"
"GLORYS",1999,"se_extent_index",1.78099421967936,"MAB"
"GLORYS",2000,"cold_pool_index",1.10038869633634,"MAB"
"GLORYS",2000,"se_cold_pool_index",0.0260474411642327,"MAB"
"GLORYS",2000,"persistence_index",-0.388734613417635,"MAB"
"GLORYS",2000,"se_persistence_index",0.0315563589102582,"MAB"
"GLORYS",2000,"extent_index",-56.8088235294117,"MAB"
"GLORYS",2000,"se_extent_index",1.78099421967936,"MAB"
"GLORYS",2001,"cold_pool_index",0.741728745956939,"MAB"
"GLORYS",2001,"se_cold_pool_index",0.0291948316742599,"MAB"
"GLORYS",2001,"persistence_index",-0.329365500297309,"MAB"
"GLORYS",2001,"se_persistence_index",0.0327593641306232,"MAB"
"GLORYS",2001,"extent_index",-7.80882352941171,"MAB"
"GLORYS",2001,"se_extent_index",1.78099421967936,"MAB"
"GLORYS",2002,"cold_pool_index",0.872666204070566,"MAB"
"GLORYS",2002,"se_cold_pool_index",0.0563744850933712,"MAB"
"GLORYS",2002,"persistence_index",0.367729009103019,"MAB"
"GLORYS",2002,"se_persistence_index",0.0397907511071511,"MAB"
"GLORYS",2002,"extent_index",-67.8088235294117,"MAB"
"GLORYS",2002,"se_extent_index",1.78099421967936,"MAB"
"GLORYS",2003,"cold_pool_index",-0.252323218059556,"MAB"
"GLORYS",2003,"se_cold_pool_index",0.022936509889024,"MAB"
"GLORYS",2003,"persistence_index",0.414319057889256,"MAB"
"GLORYS",2003,"se_persistence_index",0.0290691509303074,"MAB"
"GLORYS",2003,"extent_index",80.1911764705883,"MAB"
"GLORYS",2003,"se_extent_index",1.78099421967936,"MAB"
"GLORYS",2004,"cold_pool_index",-2.08417700756498,"MAB"
"GLORYS",2004,"se_cold_pool_index",0.0349390136593819,"MAB"
"GLORYS",2004,"persistence_index",1.13367389659893,"MAB"
"GLORYS",2004,"se_persistence_index",0.013407586850464,"MAB"
"GLORYS",2004,"extent_index",94.1911764705883,"MAB"
"GLORYS",2004,"se_extent_index",1.78099421967936,"MAB"
"GLORYS",2005,"cold_pool_index",-0.257162914037134,"MAB"
"GLORYS",2005,"se_cold_pool_index",0.0308215258187904,"MAB"
"GLORYS",2005,"persistence_index",0.559480348211836,"MAB"
"GLORYS",2005,"se_persistence_index",0.030726323487475,"MAB"
"GLORYS",2005,"extent_index",78.1911764705883,"MAB"
"GLORYS",2005,"se_extent_index",1.78099421967936,"MAB"
"GLORYS",2006,"cold_pool_index",1.62160737432748,"MAB"
"GLORYS",2006,"se_cold_pool_index",0.0334266045994954,"MAB"
"GLORYS",2006,"persistence_index",-0.885338530545004,"MAB"
"GLORYS",2006,"se_persistence_index",0.0349844245006785,"MAB"
"GLORYS",2006,"extent_index",-187.808823529412,"MAB"
"GLORYS",2006,"se_extent_index",1.78099421967936,"MAB"
"GLORYS",2007,"cold_pool_index",-1.14023310115478,"MAB"
"GLORYS",2007,"se_cold_pool_index",0.0368265099425843,"MAB"
"GLORYS",2007,"persistence_index",1.05786744498603,"MAB"
"GLORYS",2007,"se_persistence_index",0.0174204808774951,"MAB"
"GLORYS",2007,"extent_index",87.1911764705883,"MAB"
"GLORYS",2007,"se_extent_index",1.78099421967936,"MAB"
"GLORYS",2008,"cold_pool_index",0.185676993728296,"MAB"
"GLORYS",2008,"se_cold_pool_index",0.0408421513813022,"MAB"
"GLORYS",2008,"persistence_index",0.709116541789407,"MAB"
"GLORYS",2008,"se_persistence_index",0.0271012875111703,"MAB"
"GLORYS",2008,"extent_index",9.19117647058829,"MAB"
"GLORYS",2008,"se_extent_index",1.78099421967936,"MAB"
"GLORYS",2009,"cold_pool_index",0.2142423079561,"MAB"
"GLORYS",2009,"se_cold_pool_index",0.032512257409458,"MAB"
"GLORYS",2009,"persistence_index",0.0458319797820807,"MAB"
"GLORYS",2009,"se_persistence_index",0.0230104726129316,"MAB"
"GLORYS",2009,"extent_index",54.1911764705883,"MAB"
"GLORYS",2009,"se_extent_index",1.78099421967936,"MAB"
"GLORYS",2010,"cold_pool_index",-0.0318138033995227,"MAB"
"GLORYS",2010,"se_cold_pool_index",0.0343882567664764,"MAB"
"GLORYS",2010,"persistence_index",0.531568600062633,"MAB"
"GLORYS",2010,"se_persistence_index",0.0264309386760438,"MAB"
"GLORYS",2010,"extent_index",82.1911764705883,"MAB"
"GLORYS",2010,"se_extent_index",1.78099421967936,"MAB"
"GLORYS",2011,"cold_pool_index",0.340059485177046,"MAB"
"GLORYS",2011,"se_cold_pool_index",0.0510908634505495,"MAB"
"GLORYS",2011,"persistence_index",0.32620657497279,"MAB"
"GLORYS",2011,"se_persistence_index",0.0356977942611271,"MAB"
"GLORYS",2011,"extent_index",17.1911764705883,"MAB"
"GLORYS",2011,"se_extent_index",1.78099421967936,"MAB"
"GLORYS",2012,"cold_pool_index",2.06587842867909,"MAB"
"GLORYS",2012,"se_cold_pool_index",0.04204342945036,"MAB"
"GLORYS",2012,"persistence_index",-0.971086295264944,"MAB"
"GLORYS",2012,"se_persistence_index",0.0397210459712981,"MAB"
"GLORYS",2012,"extent_index",-252.808823529412,"MAB"
"GLORYS",2012,"se_extent_index",1.78099421967936,"MAB"
"GLORYS",2013,"cold_pool_index",1.23116791117224,"MAB"
"GLORYS",2013,"se_cold_pool_index",0.0310032232028329,"MAB"
"GLORYS",2013,"persistence_index",-0.599278137803508,"MAB"
"GLORYS",2013,"se_persistence_index",0.0316294259238279,"MAB"
